iter	Passed	Remaining
0	10	9995
1	16	8389
2	22	7588
3	30	7682
4	36	7252
5	46	7703
6	50	7094
7	59	7324
8	65	7236
9	70	7015
10	74	6711
11	79	6543
12	84	6437
13	87	6138
14	90	5934
15	94	5811
16	100	5790
17	106	5832
18	113	5882
19	119	5873
20	123	5776
21	129	5737
22	133	5669
23	136	5566
24	141	5519
25	146	5478
26	151	5448
27	158	5510
28	164	5498
29	170	5527
30	176	5524
31	182	5518
32	187	5499
33	193	5490
34	198	5466
35	206	5521
36	210	5476
37	215	5462
38	219	5416
39	226	5426
40	232	5428
41	237	5410
42	244	5439
43	251	5453
44	254	5402
45	259	5387
46	263	5342
47	270	5368
48	274	5319
49	278	5290
50	282	5255
51	287	5234
52	291	5201
53	297	5205
54	303	5213
55	309	5213
56	314	5201
57	320	5203
58	326	5209
59	333	5220
60	340	5235
61	343	5196
62	348	5177
63	353	5162
64	359	5175
65	365	5168
66	370	5152
67	376	5155
68	382	5160
69	387	5150
70	394	5161
71	401	5171
72	408	5192
73	414	5192
74	419	5175
75	424	5164
76	430	5158
77	433	5123
78	437	5097
79	442	5089
80	448	5091
81	453	5080
82	460	5084
83	472	5151
84	477	5135
85	483	5140
86	488	5122
87	494	5122
88	499	5108
89	505	5106
90	510	5097
91	516	5100
92	523	5107
93	529	5105
94	533	5086
95	536	5056
96	542	5045
97	546	5026
98	548	4996
99	551	4966
100	556	4952
101	559	4922
102	564	4915
103	567	4891
104	573	4884
105	577	4868
106	580	4846
107	585	4833
108	591	4832
109	596	4829
110	602	4825
111	609	4829
112	614	4821
113	618	4806
114	625	4813
115	632	4816
116	641	4838
117	646	4832
118	651	4822
119	654	4798
120	657	4776
121	663	4773
122	671	4790
123	677	4785
124	683	4787
125	690	4791
126	695	4782
127	701	4777
128	710	4794
129	715	4788
130	720	4782
131	727	4785
132	733	4781
133	739	4777
134	746	4780
135	752	4777
136	757	4774
137	763	4771
138	767	4752
139	772	4742
140	777	4738
141	784	4739
142	790	4737
143	794	4720
144	799	4712
145	803	4702
146	809	4697
147	814	4691
148	823	4702
149	828	4696
150	832	4683
151	838	4676
152	842	4663
153	846	4648
154	854	4660
155	859	4650
156	862	4631
157	866	4618
158	871	4610
159	878	4613
160	884	4608
161	887	4593
162	892	4583
163	896	4569
164	900	4557
165	905	4550
166	908	4533
167	913	4523
168	917	4511
169	925	4516
170	931	4514
171	938	4516
172	952	4551
173	964	4577
174	969	4570
175	977	4574
176	982	4567
177	986	4554
178	990	4541
179	996	4540
180	1001	4532
181	1009	4539
182	1014	4531
183	1018	4518
184	1023	4507
185	1026	4493
186	1032	4490
187	1039	4488
188	1043	4477
189	1050	4477
190	1053	4463
191	1058	4454
192	1063	4447
193	1070	4446
