iter	Passed	Remaining
0	239	239174
1	347	173558
2	399	132670
3	475	118453
4	547	108976
5	610	101098
6	662	94024
7	735	91185
8	851	93787
9	924	91482
10	986	88728
11	1037	85380
12	1085	82431
13	1139	80258
14	1191	78217
15	1240	76271
16	1280	74070
17	1326	72388
18	1369	70733
19	1416	69418
20	1461	68155
21	1503	66834
22	1543	65555
23	1584	64441
24	1631	63610
25	1703	63803
26	1767	63695
27	1816	63041
28	1863	62399
29	1906	61648
30	1949	60927
31	1989	60175
32	2032	59549
33	2077	59032
34	2122	58531
35	2163	57939
36	2208	57477
37	2246	56871
38	2288	56392
39	2334	56035
40	2385	55805
41	2452	55934
42	2502	55692
43	2563	55688
44	2608	55351
45	2657	55119
46	2697	54698
47	2743	54406
48	2784	54041
49	2835	53881
50	2898	53931
51	2955	53876
52	3007	53733
53	3050	53440
54	3095	53182
55	3142	52970
56	3186	52719
57	3248	52755
58	3298	52611
59	3347	52439
60	3397	52296
61	3521	53277
62	3581	53267
63	3631	53106
64	3684	53006
65	3738	52905
66	3795	52854
67	3844	52690
68	3891	52512
69	3933	52258
70	3979	52070
71	4069	52450
72	4137	52536
73	4204	52619
74	4248	52398
75	4291	52177
76	4333	51946
77	4370	51659
78	4415	51472
79	4477	51493
80	4528	51379
81	4573	51202
82	4626	51114
83	4679	51025
84	4724	50860
85	4769	50688
86	4808	50459
87	4847	50241
88	4887	50029
89	4926	49815
90	4968	49630
91	5011	49457
92	5055	49306
93	5098	49139
94	5139	48961
95	5181	48793
96	5236	48745
97	5305	48831
98	5354	48727
99	5402	48624
100	5452	48535
101	5493	48362
102	5541	48256
103	5600	48250
104	5663	48275
105	5712	48180
106	5793	48353
107	5863	48427
108	5916	48363
109	5973	48332
110	6082	48718
111	6142	48697
112	6191	48600
113	6242	48518
114	6301	48497
115	6355	48429
116	6443	48626
117	6534	48842
118	6598	48847
119	6651	48776
120	6701	48679
121	6748	48564
122	6794	48443
123	6844	48351
124	6892	48247
125	6940	48139
126	6981	47990
127	7022	47840
128	7064	47699
129	7104	47544
130	7147	47416
131	7188	47270
132	7232	47148
133	7274	47015
